AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Sex,Intact,hasName,Mix,isOneColored
A712236,Bella,2015-09-23 11:45:00,Adoption,,Dog,Spayed Female,730,Dachshund Mix,Tan/White,Female,0,1,1,0
A683961,,2014-07-17 17:31:00,Transfer,Partner,Cat,Unknown,14,Domestic Shorthair Mix,Black,NaN,NaN,0,1,1
A714740,Chiquita,2015-10-27 18:32:00,Return_to_owner,,Dog,Spayed Female,2190,Maltese Mix,White,Female,0,1,1,1
A691847,Hero,2014-12-08 15:53:00,Transfer,Partner,Dog,Neutered Male,180,Pointer Mix,Black/White,Male,0,1,1,0
A711392,Molly,2015-09-08 15:31:00,Transfer,Partner,Dog,Intact Female,60,English Foxhound,Buff,Female,1,1,1,1
A705258,,2015-06-16 09:00:00,Transfer,SCRP,Cat,Unknown,60,Domestic Shorthair Mix,Brown Tabby/White,NaN,NaN,0,1,0
A678172,Bella,2014-05-10 18:18:00,Adoption,,Dog,Spayed Female,365,Chihuahua Shorthair Mix,Red,Female,0,1,1,1
A676736,Chili,2014-04-30 17:55:00,Adoption,,Dog,Neutered Male,60,Vizsla Mix,Brown,Male,0,1,1,1
A701575,Hastings,2016-01-29 14:53:00,Transfer,Partner,Dog,Neutered Male,730,Pit Bull Mix,Brown Brindle/White,Male,0,1,1,0
A674913,,2014-03-25 18:15:00,Adoption,,Dog,Spayed Female,1095,German Shepherd/Great Pyrenees,White,Female,0,0,0,1
A706446,Tootsie,2015-08-18 11:32:00,Return_to_owner,,Cat,Intact Female,365,Domestic Shorthair Mix,Black,Female,1,1,1,1
A669540,Snookie,2013-12-28 16:17:00,Return_to_owner,,Dog,Spayed Female,1460,Yorkshire Terrier Mix,Blue/Tan,Female,0,1,1,0
A709371,Abby,2015-08-19 14:28:00,Transfer,Partner,Dog,Spayed Female,730,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan,Female,0,1,0,1
A681410,Nym,2014-06-22 17:22:00,Adoption,,Cat,Spayed Female,90,Domestic Longhair,Brown Tabby,Female,0,1,1,1
A675021,,2014-03-21 17:09:00,Euthanasia,Suffering,Cat,Intact Female,365,Domestic Shorthair Mix,Calico,Female,1,0,1,1
A704179,Zeus,2015-06-07 16:07:00,Adoption,,Dog,Neutered Male,60,Chow Chow/Pit Bull,Black,Male,0,1,0,1
A717839,,2015-12-20 19:38:00,Transfer,SCRP,Cat,Spayed Female,730,Domestic Shorthair Mix,Black/White,Female,0,0,1,0
A700740,Charlie,2015-12-17 12:10:00,Adoption,Foster,Dog,Neutered Male,365,Chihuahua Shorthair,White,Male,0,1,1,1
A712376,,2015-09-22 12:10:00,Euthanasia,Suffering,Cat,Unknown,14,Domestic Shorthair Mix,Blue Tabby,NaN,NaN,0,1,1
A703952,Taco,2015-05-30 18:56:00,Transfer,Partner,Cat,Unknown,28,Siamese Mix,Seal Point,NaN,NaN,1,1,1
A713690,,2015-10-12 09:00:00,Transfer,SCRP,Cat,Intact Male,730,Domestic Shorthair Mix,Blue Tabby,Male,1,0,1,1
A691838,Avaddon,2015-02-09 17:17:00,Euthanasia,Suffering,Dog,Neutered Male,4380,Pit Bull Mix,Brown Brindle,Male,0,1,1,1
A687789,,2014-09-14 18:51:00,Adoption,,Dog,Neutered Male,365,Dachshund/Beagle,Brown/White,Male,0,0,0,0
A704754,Arthur,2015-07-18 15:37:00,Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair Mix,Black,Male,0,1,1,1
A707531,,2015-07-14 15:04:00,Transfer,Partner,Cat,Intact Male,14,Domestic Shorthair Mix,Black,Male,1,0,1,1
A677594,,2014-04-26 18:00:00,Transfer,Partner,Dog,Intact Female,90,Labrador Retriever Mix,Black/White,Female,1,0,1,0
A667155,,2013-11-18 15:56:00,Adoption,,Cat,Spayed Female,90,Domestic Medium Hair Mix,Calico,Female,0,0,1,1
A717147,Freeway,2015-12-15 14:16:00,Adoption,,Dog,Neutered Male,150,Plott Hound Mix,Brown Brindle/White,Male,0,1,1,0
A687012,Chloe,2016-02-07 14:54:00,Adoption,,Dog,Spayed Female,1095,Boxer/Great Dane,Black,Female,0,1,0,1
A676200,Georgia,2014-04-10 11:49:00,Transfer,Partner,Dog,Spayed Female,2555,Lhasa Apso,White/Black,Female,0,1,1,0
A676680,Hero,2015-02-06 18:56:00,Euthanasia,Aggressive,Dog,Spayed Female,730,German Shepherd Mix,Black/Tan,Female,0,1,1,0
A688443,Thelma,2014-12-29 15:11:00,Adoption,Foster,Cat,Spayed Female,120,Domestic Shorthair Mix,Black,Female,0,1,1,1
A715261,Darcy,2015-11-15 14:06:00,Adoption,,Dog,Spayed Female,3285,Beagle/Treeing Walker Coonhound,White/Brown,Female,0,1,0,0
A717008,Taz,2015-12-06 15:12:00,Transfer,Partner,Dog,Neutered Male,210,Border Collie Mix,Black/White,Male,0,1,1,0
A683416,,2014-07-14 19:28:00,Adoption,,Cat,Neutered Male,60,Domestic Shorthair Mix,Black/White,Male,0,0,1,0
A690658,,2014-10-24 09:00:00,Transfer,SCRP,Cat,Intact Male,1095,Domestic Shorthair Mix,Black/White,Male,1,0,1,0
A695155,,2015-01-14 16:18:00,Adoption,,Dog,Neutered Male,1095,Border Terrier Mix,Gray,Male,0,0,1,1
A679721,Poppy,2014-05-29 17:43:00,Adoption,,Dog,Neutered Male,1825,Chihuahua Shorthair Mix,Tan/White,Male,0,1,1,0
A719113,Dexter,2016-01-28 12:05:00,Transfer,Partner,Dog,Neutered Male,1825,Boxer Mix,Brown Brindle/White,Male,0,1,1,0
A665298,,2013-10-16 11:50:00,Transfer,Partner,Cat,Intact Female,14,Domestic Medium Hair Mix,Blue,Female,1,0,1,1
A708351,,2015-07-26 14:40:00,Transfer,Partner,Cat,Unknown,14,Domestic Shorthair Mix,Black,NaN,NaN,0,1,1
A670681,Matty,2014-01-30 14:41:00,Transfer,Partner,Cat,Spayed Female,1460,Domestic Shorthair Mix,Torbie,Female,0,1,1,1
A699990,Chubbs,2015-04-08 18:06:00,Return_to_owner,,Dog,Neutered Male,1460,Cairn Terrier Mix,Tan/White,Male,0,1,1,0
A707767,Lilly,2015-07-19 18:27:00,Adoption,,Cat,Neutered Male,60,Domestic Shorthair Mix,Brown Tabby,Male,0,1,1,1
A668362,Minnie,2013-12-20 12:02:00,Return_to_owner,,Dog,Spayed Female,730,Chihuahua Shorthair Mix,Black/Tan,Female,0,1,1,0
A674577,Santiago,2014-03-23 18:43:00,Adoption,,Dog,Neutered Male,730,Dogo Argentino Mix,White,Male,0,1,1,1
A674802,Franklin,2014-03-29 11:26:00,Return_to_owner,,Dog,Neutered Male,3285,Dachshund Mix,Black/Brown,Male,0,1,1,0
A672410,Myles,2014-02-11 18:16:00,Return_to_owner,,Dog,Neutered Male,1825,Beagle Mix,Tricolor,Male,0,1,1,1
A657753,Wiz,2013-12-06 16:53:00,Euthanasia,Aggressive,Dog,Neutered Male,365,Chihuahua Shorthair/Dachshund,Yellow Brindle/White,Male,0,1,0,0
A663339,Abby,2013-10-20 16:37:00,Adoption,,Dog,Spayed Female,730,Pit Bull Mix,Fawn/White,Female,0,1,1,0
A678229,,2014-05-06 15:59:00,Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair Mix,Brown Tabby,Male,1,0,1,1
A698694,Boss,2015-07-06 15:48:00,Transfer,Partner,Dog,Intact Male,150,Pit Bull Mix,White/Brown,Male,1,1,1,0
A695971,,2015-01-26 16:23:00,Euthanasia,Suffering,Cat,Intact Male,2190,Domestic Shorthair Mix,Orange Tabby,Male,1,0,1,1
A674233,Missy,2014-03-22 15:38:00,Adoption,,Dog,Spayed Female,365,Chihuahua Shorthair Mix,Tan,Female,0,1,1,1
A713392,Basil,2015-11-05 00:00:00,Transfer,Partner,Dog,Intact Male,90,Chihuahua Shorthair Mix,Black/White,Male,1,1,1,0
A713968,Katydid,2015-10-24 18:29:00,Transfer,Partner,Cat,Intact Female,30,Domestic Longhair Mix,Calico,Female,1,1,1,1
A701428,Kiki,2015-05-03 16:59:00,Return_to_owner,,Dog,Spayed Female,1095,Chihuahua Shorthair Mix,Brown,Female,0,1,1,1
A676146,Desmo,2014-04-14 17:00:00,Return_to_owner,,Dog,Neutered Male,1825,Dachshund Mix,Black,Male,0,1,1,1
A679259,Pablo,2014-05-26 11:22:00,Adoption,,Dog,Neutered Male,2920,Miniature Schnauzer/Miniature Poodle,Black,Male,0,1,0,1
A688223,,2014-09-21 14:15:00,Adoption,Offsite,Dog,Spayed Female,60,Labrador Retriever Mix,Black/White,Female,0,0,1,0
A691968,,2014-11-14 11:57:00,Euthanasia,Suffering,Cat,Intact Female,2555,Domestic Shorthair Mix,Tortie,Female,1,0,1,1
A688871,Pandora,2014-10-03 18:43:00,Adoption,,Cat,Intact Female,60,Domestic Shorthair Mix,Black,Female,1,1,1,1
A674530,Jackson,2014-09-11 17:03:00,Adoption,,Dog,Neutered Male,1825,Pit Bull,Black,Male,0,1,1,1
A718604,Watson,2016-01-31 17:22:00,Adoption,,Dog,Neutered Male,365,Pit Bull Mix,White/Brown,Male,0,1,1,0
A686520,,2014-08-24 09:00:00,Transfer,SCRP,Cat,Intact Male,90,Domestic Shorthair Mix,Brown Tabby,Male,1,0,1,1
A699094,Levon,2015-03-22 18:40:00,Return_to_owner,,Dog,Neutered Male,730,Chihuahua Shorthair Mix,Brown/White,Male,0,1,1,0
A394547,Snickerdoodl,2015-01-25 11:15:00,Return_to_owner,,Dog,Spayed Female,3285,Labrador Retriever Mix,Chocolate/White,Female,0,1,1,0
A662685,Lola,2015-10-22 17:18:00,Adoption,,Dog,Spayed Female,1095,Pit Bull Mix,Red/White,Female,0,1,1,0
A713977,Jumbly,2015-10-26 18:39:00,Return_to_owner,,Cat,Spayed Female,1095,Domestic Shorthair Mix,Calico,Female,0,1,1,1
A707781,Pearl,2016-01-15 14:03:00,Adoption,,Dog,Spayed Female,365,Chihuahua Shorthair/Jack Russell Terrier,Black/White,Female,0,1,0,0
A694699,Pebbles,2015-01-09 15:28:00,Transfer,Partner,Dog,Spayed Female,730,Chihuahua Shorthair Mix,Black/Tan,Female,0,1,1,0
A696350,Minnie,2015-12-15 17:30:00,Return_to_owner,,Dog,Spayed Female,365,Pit Bull,Brown Brindle,Female,0,1,1,1
A679102,Merlin,2014-06-10 16:41:00,Transfer,Partner,Cat,Neutered Male,730,Siamese Mix,Flame Point,Male,0,1,1,1
A698341,Parsley,2015-05-16 15:19:00,Return_to_owner,,Dog,Spayed Female,730,Tibetan Terrier Mix,Brown,Female,0,1,1,1
A681481,,2014-06-18 09:00:00,Transfer,SCRP,Cat,Intact Female,730,Domestic Shorthair Mix,Blue/White,Female,1,0,1,0
A714177,,2015-10-20 09:00:00,Transfer,SCRP,Cat,Unknown,90,Domestic Shorthair Mix,Tortie,NaN,NaN,0,1,1
A689601,Abby,2014-11-23 18:55:00,Adoption,Foster,Dog,Spayed Female,30,Miniature Pinscher/Chihuahua Shorthair,Tricolor,Female,0,1,0,1
A685062,,2014-08-05 13:20:00,Adoption,,Cat,Neutered Male,60,Domestic Shorthair Mix,Orange Tabby/White,Male,0,0,1,0
A672453,,2014-02-16 19:38:00,Adoption,Offsite,Cat,Neutered Male,300,Domestic Medium Hair Mix,Cream Tabby,Male,0,0,1,1
A719480,Ricky,2016-02-09 16:31:00,Transfer,Partner,Cat,Spayed Female,730,Domestic Medium Hair Mix,Brown Tabby/White,Female,0,1,1,0
A702880,Tom,2015-06-28 15:33:00,Adoption,,Cat,Spayed Female,60,Domestic Medium Hair Mix,Calico,Female,0,1,1,1
A714494,Amarillo,2015-11-01 19:11:00,Adoption,,Dog,Neutered Male,180,Labrador Retriever Mix,Yellow,Male,0,1,1,1
A711853,Nala,2015-11-07 19:14:00,Adoption,,Cat,Spayed Female,60,Domestic Shorthair Mix,Brown Tabby,Female,0,1,1,1
A688720,,2014-09-26 18:09:00,Adoption,,Dog,Spayed Female,365,Dachshund Mix,Tan,Female,0,0,1,1
A689690,Winnie,2014-10-22 14:37:00,Transfer,Partner,Dog,Intact Female,180,Dachshund Mix,Brown/White,Female,1,1,1,0
A679915,Luna,2014-06-01 17:48:00,Adoption,,Cat,Spayed Female,365,Domestic Shorthair Mix,Black/White,Female,0,1,1,0
A687991,,2014-09-12 18:38:00,Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair Mix,Calico,Male,1,0,1,1
A707896,Tokyo,2016-02-19 14:58:00,Adoption,Foster,Cat,Neutered Male,730,Domestic Shorthair Mix,Brown Tabby,Male,0,1,1,1
A702014,Diamond,2015-11-14 13:30:00,Adoption,,Dog,Spayed Female,330,Blue Lacy Mix,Blue/White,Female,0,1,1,0
A673626,,2014-03-03 16:58:00,Transfer,Partner,Dog,Neutered Male,90,Rat Terrier Mix,Tricolor,Male,0,0,1,1
A652097,Minnie,2014-02-10 12:34:00,Return_to_owner,,Dog,Spayed Female,730,Dachshund Longhair,Brown,Female,0,1,1,1
A685180,Neville,2014-09-27 12:25:00,Transfer,Partner,Dog,Neutered Male,730,Pit Bull Mix,Red,Male,0,1,1,1
A707442,Conrad,2015-08-15 11:32:00,Adoption,,Dog,Neutered Male,730,Pit Bull Mix,Brown/White,Male,0,1,1,0
A682599,Shiva,2014-07-03 18:45:00,Adoption,,Cat,Spayed Female,120,Domestic Longhair,Calico,Female,0,1,1,1
A685452,,2014-08-11 15:17:00,Transfer,Partner,Dog,Intact Female,120,Dachshund/Chihuahua Shorthair,Red,Female,1,0,0,1
A688067,,2014-09-15 09:00:00,Transfer,SCRP,Cat,Intact Female,150,Domestic Shorthair Mix,Torbie,Female,1,0,1,1
A714069,Jupiter,2015-12-16 11:28:00,Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair Mix,Black Tabby/White,Male,0,1,1,0
A705924,Nero,2015-07-29 15:41:00,Transfer,Partner,Dog,Neutered Male,2555,Chihuahua Shorthair Mix,Brown/White,Male,0,1,1,0
A717167,Oscar,2016-01-23 16:05:00,Adoption,Foster,Cat,Neutered Male,1460,Domestic Shorthair Mix,Black/White,Male,0,1,1,0
A711639,,2015-09-10 11:35:00,Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair Mix,Tortie/Calico,Female,1,0,1,0
A716760,Dasher,2015-12-06 17:08:00,Adoption,,Dog,Neutered Male,180,Border Collie Mix,Black/White,Male,0,1,1,0
A709048,Libby,2015-08-08 17:58:00,Adoption,,Dog,Intact Female,150,Labrador Retriever Mix,Black/White,Female,1,1,1,0
A719048,Gracie,2016-01-13 11:43:00,Return_to_owner,,Dog,Spayed Female,2920,Maltese,White,Female,0,1,1,1
A707437,,2015-07-19 17:26:00,Adoption,,Cat,Neutered Male,60,Domestic Shorthair Mix,Black,Male,0,0,1,1
A706387,Sugar,2015-07-06 18:05:00,Adoption,,Cat,Spayed Female,30,Domestic Shorthair Mix,Blue Tabby/White,Female,0,1,1,0
A720668,,2016-02-15 18:30:00,Return_to_owner,,Dog,Spayed Female,150,Labrador Retriever Mix,White,Female,0,0,1,1
A679341,Jethro,2014-05-31 13:58:00,Transfer,Partner,Cat,Intact Male,30,Domestic Shorthair Mix,Brown Tabby,Male,1,1,1,1
A690519,,2014-10-23 09:00:00,Transfer,SCRP,Cat,Intact Male,120,Domestic Shorthair Mix,Blue Tabby,Male,1,0,1,1
A708769,Keyla,2015-08-01 11:54:00,Adoption,,Dog,Spayed Female,365,Chihuahua Shorthair Mix,White/Tan,Female,0,1,1,0
A681462,Samson,2014-08-10 16:25:00,Adoption,,Dog,Neutered Male,730,Labrador Retriever/Rottweiler,Black/Brown,Male,0,1,0,0
A666444,August,2013-11-04 15:50:00,Transfer,Partner,Cat,Spayed Female,4015,Domestic Shorthair Mix,Tortie,Female,0,1,1,1
A701153,,2015-06-25 09:31:00,Adoption,Foster,Dog,Neutered Male,60,Dachshund/Manchester Terrier,Tricolor,Male,0,0,0,1
A710071,Herb,2015-09-01 00:00:00,Transfer,Partner,Cat,Neutered Male,60,Domestic Shorthair Mix,White/Black,Male,0,1,1,0
A714602,Stripey,2015-10-29 18:44:00,Adoption,,Cat,Intact Female,60,Domestic Shorthair Mix,Brown Tabby,Female,1,1,1,1
A700707,Sallie,2015-04-20 14:41:00,Adoption,,Dog,Spayed Female,30,Plott Hound/Labrador Retriever,Black/Brown Brindle,Female,0,1,0,0
A702563,Klo Dog,2015-05-25 11:26:00,Return_to_owner,,Dog,Spayed Female,2555,Chihuahua Shorthair/Rat Terrier,White/Tan,Female,0,1,0,0
A679441,,2014-05-21 13:47:00,Transfer,Partner,Cat,Intact Male,4,Domestic Shorthair Mix,Cream Tabby/White,Male,1,0,1,0
A715729,Milo,2015-11-09 13:24:00,Return_to_owner,,Dog,Neutered Male,1460,Siberian Husky,White/Gray,Male,0,1,1,0
A716575,Scarlet,2015-12-22 00:00:00,Transfer,Partner,Dog,Spayed Female,730,Australian Cattle Dog Mix,Tan/White,Female,0,1,1,0
A714462,Pebbles,2015-11-14 13:26:00,Return_to_owner,,Dog,Spayed Female,365,Pointer Mix,White/Black,Female,0,1,1,0
A717429,Cairo,2015-12-09 17:05:00,Return_to_owner,,Dog,Neutered Male,730,Pit Bull Mix,Brown Brindle/White,Male,0,1,1,0
A687336,,2014-09-03 18:51:00,Transfer,Partner,Cat,Intact Female,28,Domestic Medium Hair Mix,Brown Tabby,Female,1,0,1,1
A713364,Calypso,2015-11-13 11:53:00,Transfer,Partner,Cat,Intact Female,365,Domestic Shorthair Mix,Black/White,Female,1,1,1,0
A701999,Luna,2015-05-12 17:39:00,Adoption,,Dog,Spayed Female,730,Yorkshire Terrier/Miniature Poodle,Tan/Silver,Female,0,1,0,0
A664304,,2013-10-03 12:27:00,Transfer,SCRP,Cat,Intact Male,300,Domestic Shorthair Mix,Orange Tabby,Male,1,0,1,1
A698066,Diva,2015-03-07 12:50:00,Transfer,Partner,Dog,Spayed Female,1460,German Shepherd Mix,White,Female,0,1,1,1
A680585,Olivia,2014-07-16 17:48:00,Adoption,,Cat,Spayed Female,120,Domestic Shorthair Mix,Brown Tabby/White,Female,0,1,1,0
A699715,Ashley,2015-05-13 11:51:00,Transfer,Partner,Dog,Spayed Female,2190,Catahoula/Labrador Retriever,White/Tan,Female,0,1,0,0
A702246,,2015-05-15 17:47:00,Adoption,,Dog,Spayed Female,270,Miniature Poodle Mix,Black/White,Female,0,0,1,0
A711918,Jaqueline,2015-09-19 14:33:00,Adoption,,Dog,Spayed Female,1095,Jack Russell Terrier/Pit Bull,Red,Female,0,1,0,1
